"Entry","Status","Gene.names","Organism","Gene.ontology..biological.process.","Gene.ontology..cellular.component.","Gene.ontology..molecular.function.","Gene.ontology.IDs"
"A0A3B1KM01","unreviewed","crhr2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","cell surface receptor signaling pathway [GO:0007166]","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]","G protein-coupled receptor activity [GO:0004930]","GO:0004930; GO:0005886; GO:0007166; GO:0016021"
"A0A3B1KGZ4","unreviewed","kctd15","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","protein homooligomerization [GO:0051260]","","","GO:0051260"
"A0A3B1JVC7","unreviewed","stradb","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","ATP binding [GO:0005524]; protein kinase activity [GO:0004672]","GO:0004672; GO:0005524"
"A0A3B1JJG6","unreviewed","pafah1b2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","lipid catabolic process [GO:0016042]","","","GO:0016042"
"A0A3B1KBX8","unreviewed","slc66a2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","","GO:0016021"
"A0A3B1JJI9","unreviewed","map3k13","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","protein autophosphorylation [GO:0046777]","cytoplasm [GO:0005737]","ATP binding [GO:0005524]; MAP kinase kinase kinase activity [GO:0004709]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]","GO:0004709; GO:0005524; GO:0005737; GO:0046777; GO:0106310; GO:0106311"
"A0A3B1JXZ6","unreviewed","slc9a3r2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","endomembrane system [GO:0012505]; membrane [GO:0016020]","molecular adaptor activity [GO:0060090]","GO:0012505; GO:0016020; GO:0060090"
"A0A3B1K632","unreviewed","diras1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","signal transduction [GO:0007165]","membrane [GO:0016020]","G protein activity [GO:0003925]; GTP binding [GO:0005525]","GO:0003925; GO:0005525; GO:0007165; GO:0016020"
"Q0PJT5","unreviewed","fgf8","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","cardiac ventricle morphogenesis [GO:0003208]; cardioblast differentiation [GO:0010002]; cartilage development [GO:0051216]; cerebellum formation [GO:0021588]; cilium assembly [GO:0060271]; closure of optic fissure [GO:0061386]; determination of dorsal identity [GO:0048263]; determination of left/right symmetry [GO:0007368]; embryonic heart tube development [GO:0035050]; embryonic neurocranium morphogenesis [GO:0048702]; embryonic pattern specification [GO:0009880]; embryonic retina morphogenesis in camera-type eye [GO:0060059]; endoderm development [GO:0007492]; fibroblast growth factor receptor signaling pathway [GO:0008543]; Kupffer's vesicle development [GO:0070121]; locus ceruleus development [GO:0021703]; midbrain development [GO:0030901]; midbrain-hindbrain boundary morphogenesis [GO:0021555]; negative regulation of endodermal cell fate specification [GO:0042664]; neuron fate specification [GO:0048665]; notochord development [GO:0030903]; oligodendrocyte differentiation [GO:0048709]; otic placode formation [GO:0043049]; paraxial mesoderm development [GO:0048339]; peripheral nervous system development [GO:0007422]; pharyngeal system development [GO:0060037]; positive regulation of cell migration [GO:0030335]; positive regulation of somitomeric trunk muscle development [GO:0014709]; positive regulation of Wnt signaling pathway [GO:0030177]; regulation of bone remodeling [GO:0046850]; rhombomere 5 development [GO:0021571]; rhombomere 6 development [GO:0021572]; somitogenesis [GO:0001756]; taste bud formation [GO:0061195]; thyroid gland development [GO:0030878]; ventricular cardiac muscle cell differentiation [GO:0055012]","extracellular space [GO:0005615]; lysosome [GO:0005764]","fibroblast growth factor receptor binding [GO:0005104]; growth factor activity [GO:0008083]","GO:0001756; GO:0003208; GO:0005104; GO:0005615; GO:0005764; GO:0007368; GO:0007422; GO:0007492; GO:0008083; GO:0008543; GO:0009880; GO:0010002; GO:0014709; GO:0021555; GO:0021571; GO:0021572; GO:0021588; GO:0021703; GO:0030177; GO:0030335; GO:0030878; GO:0030901; GO:0030903; GO:0035050; GO:0042664; GO:0043049; GO:0046850; GO:0048263; GO:0048339; GO:0048665; GO:0048702; GO:0048709; GO:0051216; GO:0055012; GO:0060037; GO:0060059; GO:0060271; GO:0061195; GO:0061386; GO:0070121"
"W5K7Y9","unreviewed","pdpr","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","oxidoreductase activity [GO:0016491]","GO:0016491"
"A0A3B1IUH1","unreviewed","ptprm","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","protein tyrosine phosphatase activity [GO:0004725]","GO:0004725; GO:0016021"
"A0A3B1KI57","unreviewed","aqp14","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","channel activity [GO:0015267]","GO:0015267; GO:0016021"
"A0A3B1IFR2","unreviewed","shisal2a","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","","GO:0016021"
"A0A3B1IJ00","unreviewed","cir1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","transcription corepressor activity [GO:0003714]","GO:0003714"
"A0A3B1J2G7","unreviewed","rpl3l","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","translation [GO:0006412]","ribosome [GO:0005840]","structural constituent of ribosome [GO:0003735]","GO:0003735; GO:0005840; GO:0006412"
"Q0PJT2","unreviewed","pitx2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","multicellular organism development [GO:0007275]","nucleus [GO:0005634]","DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]","GO:0000981; GO:0003677; GO:0005634; GO:0007275"
"W5LAB3","unreviewed","slc13a2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","sodium ion transport [GO:0006814]","integral component of membrane [GO:0016021]","transmembrane transporter activity [GO:0022857]","GO:0006814; GO:0016021; GO:0022857"
"W5L6J7","unreviewed","slc9a1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","regulation of pH [GO:0006885]","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]","sodium:proton antiporter activity [GO:0015385]","GO:0005886; GO:0006885; GO:0015385; GO:0016021"
"A0A3B1KCQ4","unreviewed","draxin","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","axon guidance [GO:0007411]; commissural neuron differentiation in spinal cord [GO:0021528]; dorsal spinal cord development [GO:0021516]; forebrain development [GO:0030900]; Wnt signaling pathway [GO:0016055]","extracellular region [GO:0005576]","","GO:0005576; GO:0007411; GO:0016055; GO:0021516; GO:0021528; GO:0030900"
"A0A3B1J2W3","unreviewed","c12orf57","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","cytoplasm [GO:0005737]","","GO:0005737"
"W5LBY9","unreviewed","aste1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"W5JZC9","unreviewed","tpm1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","cytoskeleton [GO:0005856]","actin binding [GO:0003779]","GO:0003779; GO:0005856"
"A0A3B1KH37","unreviewed","mfap4","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"A0A3B1JLV8","unreviewed","dbx2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","nucleus [GO:0005634]","DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]","GO:0000981; GO:0003677; GO:0005634"
"A0A3B1ID02","unreviewed","cd247","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","cell surface receptor signaling pathway [GO:0007166]","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]","transmembrane signaling receptor activity [GO:0004888]","GO:0004888; GO:0005886; GO:0007166; GO:0016021"
"A0A3B1KK08","unreviewed","polr2k","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","transcription, DNA-templated [GO:0006351]","","DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; zinc ion binding [GO:0008270]","GO:0003677; GO:0003899; GO:0006351; GO:0008270"
"W5KKM2","unreviewed","h3-3b","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","nucleosome [GO:0000786]; nucleus [GO:0005634]","DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]","GO:0000786; GO:0003677; GO:0005634; GO:0046982"
"W5LJV5","unreviewed","mphosph9","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"A0MK35","unreviewed","bmp4","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","extracellular region [GO:0005576]","growth factor activity [GO:0008083]","GO:0005576; GO:0008083"
"A0A3B1JM01","unreviewed","lhfpl3","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","","GO:0016021"
"W5L4V4","unreviewed","rps17","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","translation [GO:0006412]","ribosome [GO:0005840]","structural constituent of ribosome [GO:0003735]","GO:0003735; GO:0005840; GO:0006412"
"A0A3B1IQD6","unreviewed","slc25a38","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","erythrocyte differentiation [GO:0030218]; glycine import into mitochondrion [GO:1904983]; hemoglobin biosynthetic process [GO:0042541]","integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]","glycine transmembrane transporter activity [GO:0015187]","GO:0005743; GO:0015187; GO:0016021; GO:0030218; GO:0042541; GO:1904983"
"A0A3B1KIB4","unreviewed","mdfic","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"Q0PJT7","unreviewed","dlx2a","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","nucleus [GO:0005634]","DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]","GO:0000981; GO:0003677; GO:0005634"
"A0A3B1KCK9","unreviewed","atxn7l3","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","histone deubiquitination [GO:0016578]","DUBm complex [GO:0071819]; SAGA complex [GO:0000124]","transcription coactivator activity [GO:0003713]; zinc ion binding [GO:0008270]","GO:0000124; GO:0003713; GO:0008270; GO:0016578; GO:0071819"
"W5L4J2","unreviewed","hs3st5","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","Golgi apparatus [GO:0005794]","sulfotransferase activity [GO:0008146]","GO:0005794; GO:0008146"
"A0A3B1KLS4","unreviewed","myocd","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","positive regulation of cardiac muscle cell differentiation [GO:2000727]","nucleus [GO:0005634]","transcription coactivator activity [GO:0003713]","GO:0003713; GO:0005634; GO:2000727"
"W5KLK8","unreviewed","apoa1bp aibp","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","extracellular region [GO:0005576]; mitochondrion [GO:0005739]","metal ion binding [GO:0046872]; NADHX epimerase activity [GO:0052856]; NADPHX epimerase activity [GO:0052857]; nucleotide binding [GO:0000166]","GO:0000166; GO:0005576; GO:0005739; GO:0046872; GO:0052856; GO:0052857"
"A0A3B1KDW8","unreviewed","mfsd3","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","acetyl-CoA transmembrane transporter activity [GO:0008521]","GO:0008521; GO:0016021"
"W5KI85","unreviewed","eif5al1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","mRNA transport [GO:0051028]; positive regulation of translational elongation [GO:0045901]; positive regulation of translational termination [GO:0045905]; protein transport [GO:0015031]","endoplasmic reticulum membrane [GO:0005789]; nuclear pore [GO:0005643]","ribosome binding [GO:0043022]; translation elongation factor activity [GO:0003746]","GO:0003746; GO:0005643; GO:0005789; GO:0015031; GO:0043022; GO:0045901; GO:0045905; GO:0051028"
"A0A3B1IBH9","unreviewed","neu1b","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","lipid catabolic process [GO:0016042]","","exo-alpha-(2->3)-sialidase activity [GO:0052794]; exo-alpha-(2->6)-sialidase activity [GO:0052795]; exo-alpha-(2->8)-sialidase activity [GO:0052796]","GO:0016042; GO:0052794; GO:0052795; GO:0052796"
"W5KZT7","unreviewed","acta1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","embryonic heart tube development [GO:0035050]; skeletal muscle fiber development [GO:0048741]","","","GO:0035050; GO:0048741"
"W5L626","unreviewed","snx14","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","phosphatidylinositol-3,5-bisphosphate binding [GO:0080025]","GO:0016021; GO:0080025"
"W5KI80","unreviewed","nqo2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"A0A3B1K9K8","unreviewed","slc16a2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of plasma membrane [GO:0005887]","thyroid hormone transmembrane transporter activity [GO:0015349]","GO:0005887; GO:0015349"
"W5KHV3","unreviewed","nfx1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","nucleus [GO:0005634]","DNA-binding transcription factor activity [GO:0003700]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]","GO:0003676; GO:0003700; GO:0005634; GO:0008270"
"W5LKN4","unreviewed","slc16a7","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","pyruvate transmembrane transport [GO:1901475]","integral component of plasma membrane [GO:0005887]","monocarboxylic acid transmembrane transporter activity [GO:0008028]; symporter activity [GO:0015293]","GO:0005887; GO:0008028; GO:0015293; GO:1901475"
"A0A3B1JZW1","unreviewed","slc39a11","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","metal ion transmembrane transporter activity [GO:0046873]","GO:0016021; GO:0046873"
"W5KJN9","unreviewed","hapln3","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","cell adhesion [GO:0007155]","extracellular region [GO:0005576]","hyaluronic acid binding [GO:0005540]","GO:0005540; GO:0005576; GO:0007155"
"W5KN36","unreviewed","tyr","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","melanin biosynthetic process [GO:0042438]","integral component of membrane [GO:0016021]; melanosome membrane [GO:0033162]","oxidoreductase activity [GO:0016491]","GO:0016021; GO:0016491; GO:0033162; GO:0042438"
"W5K8Y1","unreviewed","myom2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"Q7ZZU9","unreviewed","hsp90a","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","protein folding [GO:0006457]; response to estrogen [GO:0043627]","cytoplasm [GO:0005737]; nucleus [GO:0005634]","ATPase activity [GO:0016887]; ATP binding [GO:0005524]; unfolded protein binding [GO:0051082]","GO:0005524; GO:0005634; GO:0005737; GO:0006457; GO:0016887; GO:0043627; GO:0051082"
"A0A3B1J921","unreviewed","fig4","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","phosphatidylinositol dephosphorylation [GO:0046856]","membrane [GO:0016020]","phosphatidylinositol-3,5-bisphosphate 5-phosphatase activity [GO:0043813]","GO:0016020; GO:0043813; GO:0046856"
"W5L879","unreviewed","kcnv1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","protein homooligomerization [GO:0051260]; regulation of ion transmembrane transport [GO:0034765]","voltage-gated potassium channel complex [GO:0008076]","voltage-gated potassium channel activity [GO:0005249]","GO:0005249; GO:0008076; GO:0034765; GO:0051260"
"W5KMJ1","unreviewed","bmx","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","adaptive immune response [GO:0002250]; intracellular signal transduction [GO:0035556]","","ATP binding [GO:0005524]; metal ion binding [GO:0046872]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]","GO:0002250; GO:0004714; GO:0004715; GO:0005524; GO:0035556; GO:0046872"
"A0A3B1KA37","unreviewed","grb14","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","signal transduction [GO:0007165]","","","GO:0007165"
"Q0PJT3","unreviewed","pax9","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","animal organ morphogenesis [GO:0009887]","nucleus [GO:0005634]","DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]","GO:0003677; GO:0003700; GO:0005634; GO:0009887"
"A0A3B1KJY8","unreviewed","nrcam","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","","GO:0016021"
"A0A3B1J0W8","unreviewed","ddit4l","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","negative regulation of signal transduction [GO:0009968]","cytoplasm [GO:0005737]","","GO:0005737; GO:0009968"
"A0A3B1J6B6","unreviewed","clps","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","digestion [GO:0007586]; lipid catabolic process [GO:0016042]","extracellular region [GO:0005576]","enzyme activator activity [GO:0008047]","GO:0005576; GO:0007586; GO:0008047; GO:0016042"
"A0A3B1KEJ3","unreviewed","abce1","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","integral component of membrane [GO:0016021]","ATPase-coupled transmembrane transporter activity [GO:0042626]; ATP binding [GO:0005524]","GO:0005524; GO:0016021; GO:0042626"
"A0A3B1ID75","unreviewed","lrrc75a","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","","",""
"W5KC75","unreviewed","gmpr","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","purine nucleobase metabolic process [GO:0006144]; purine nucleotide metabolic process [GO:0006163]","GMP reductase complex [GO:1902560]","GMP reductase activity [GO:0003920]; metal ion binding [GO:0046872]","GO:0003920; GO:0006144; GO:0006163; GO:0046872; GO:1902560"
"A0A3B1JLA1","unreviewed","pak3","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","","cytoplasm [GO:0005737]","ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]","GO:0005524; GO:0005737; GO:0106310; GO:0106311"
"W5L220","unreviewed","mocs2","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","Mo-molybdopterin cofactor biosynthetic process [GO:0006777]","cytosol [GO:0005829]; molybdopterin synthase complex [GO:0019008]","molybdopterin synthase activity [GO:0030366]","GO:0005829; GO:0006777; GO:0019008; GO:0030366"
"A0A3B1JL27","unreviewed","chst13","Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus)","carbohydrate biosynthetic process [GO:0016051]","Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]","sulfotransferase activity [GO:0008146]","GO:0000139; GO:0008146; GO:0016021; GO:0016051"
