Marker,Chromosome,Linkage_Group,Cross,Start_Position_on_Chromosome,End_Position_on_Chromosome,LOD,Quantitative_Trait,Percent_Variance_Explained,Study_Specific_Information,Publication
Am17B,3,2,Pachon x Surface F2,12459459,12458975,NA,NA,NA,NA,Protas_et_al.2007
Am17B,3,2,Pachon x Texas Surface F2 and F3,12459459,12458975,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
Am17B,3,2,Pachon x Texas Surface F2 and F3,12459459,12458975,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
Am17B,3,2,Pachon x Texas Surface F2 and F3,12459459,12458975,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2015
Am17B,3,2,Pachon x Texas Surface F2,12459459,12458975,NA,NA,NA,NA,O.Quin.et.al.2012
Am216F,3,2,Pachon x Surface F2,13521177,13521471,NA,NA,NA,NA,Protas_et_al.2008
Am216F,3,2,Pachon x Surface F2,13521177,13521471,NA,NA,NA,NA,Protas_et_al.2008
Am216F,3,2,Pachon x Surface F2,13521177,13521471,NA,NA,NA,NA,Protas_et_al.2008
Am216F,3,2,Pachon x Surface F2,13521177,13521471,NA,NA,NA,NA,Protas_et_al.2008
Am216F,3,2,Pachon x Surface F2,13521177,13521471,NA,NA,NA,NA,Protas_et_al.2008
Am216F,3,2,Pachon x Surface F2,13521177,13521471,NA,NA,NA,NA,Protas_et_al.2008
Am216F,3,2,Pachon x Surface F2,13521177,13521471,NA,NA,NA,NA,Protas_et_al.2008
Am216F,3,2,Pachon x Surface F2,13521177,13521471,NA,NA,NA,NA,Protas_et_al.2007
Am216F,3,2,Pachon x Surface F2,13521177,13521471,NA,NA,NA,NA,Protas_et_al.2007
Am216F,3,2,Pachon x Surface F2,13521177,13521471,NA,NA,NA,NA,Protas_et_al.2007
Am216F,3,2,Pachon x Texas Surface F2 and F3,13521177,13521471,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
Am216F,3,2,Pachon x Texas Surface F2 and F3,13521177,13521471,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
Am216F,3,2,Pachon x Texas Surface F2 and F3,13521177,13521471,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2015
Am216F,3,2,Pachon x Texas Surface F2,13521177,13521471,NA,NA,NA,NA,O.Quin.et.al.2012
Am238E,3,2,Pachon x Surface F2,16591887,16591523,NA,NA,NA,NA,Protas_et_al.2008
Am238E,3,2,Pachon x Surface F2,16591887,16591523,NA,NA,NA,NA,Protas_et_al.2007
Am238E,3,2,Pachon x Surface F2,16591887,16591523,NA,NA,NA,NA,Protas_et_al.2007
RAD_79105,3,2,Pachon x Texas Surface F2 and F3,18162996,18163091,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2015
NYU27,3,2,Pachon x Surface F2,19560110,19560546,NA,NA,NA,NA,Protas_et_al.2008
NYU27,3,2,Pachon x Surface F2,19560110,19560546,NA,NA,NA,NA,Protas_et_al.2007
NYU27,3,2,Pachon x Surface F2,19560110,19560546,NA,NA,NA,NA,Protas_et_al.2007
NYU27,3,2,Pachon x Texas Surface F2 and F3,19560110,19560546,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2015
Am119C,3,2,Pachon x Surface F2,20695014,20694582,NA,NA,NA,NA,Protas_et_al.2008
Am119C,3,2,Pachon x Surface F2,20695014,20694582,NA,NA,NA,NA,Protas_et_al.2007
Am119C,3,2,Pachon x Surface F2,20695014,20694582,NA,NA,NA,NA,Protas_et_al.2007
Am119C,3,2,Pachon x Texas Surface F2 and F3,20695014,20694582,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2015
Am234B,3,2,Pachon x Surface F2,23953884,23953363,NA,NA,NA,NA,Protas_et_al.2008
Am234B,3,2,Pachon x Surface F2,23953884,23953363,NA,NA,NA,NA,Protas_et_al.2007
Am234B,3,2,Pachon x Surface F2,23953884,23953363,NA,NA,NA,NA,Protas_et_al.2007
Am234B,3,2,Pachon x Surface F2,23953884,23953363,NA,NA,NA,NA,Protas_et_al.2007
Am234B,3,2,Pachon x Texas Surface F2 and F3,23953884,23953363,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
Am234B,3,2,Pachon x Texas Surface F2 and F3,23953884,23953363,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2015
RAD_2536,3,2,Pachon x Surface F2,25816285,25816380,NA,NA,NA,NA,Protas_et_al.2008
RAD_2536,3,2,Pachon x Surface F2,25816285,25816380,NA,NA,NA,NA,Protas_et_al.2007
RAD_2536,3,2,Pachon x Texas Surface F2 and F3,25816285,25816380,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
RAD_2536,3,2,Pachon x Texas Surface F2 and F3,25816285,25816380,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2015
RAD_22542,3,2,Pachon x Texas Surface F2 and F3,26119012,26118917,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2015
RAD_19081,3,2,Pachon x Texas Surface F2 and F3,28521548,28521453,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2015
RAD_19081,3,2,NA,28521548,28521453,NA,NA,NA,NA,Kowalko.et.al.2013.PNAS
Am103B,3,2,Pachon x Texas Surface F2 and F3,29656319,29656743,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2015
Am103B,3,2,NA,29656319,29656743,NA,NA,NA,NA,Kowalko.et.al.2013.PNAS
Am143C,3,2,Pachon x Surface F2,37236745,37236154,NA,NA,NA,NA,Protas_et_al.2008
Am143C,3,2,Pachon x Surface F2,37236745,37236154,NA,NA,NA,NA,Protas_et_al.2008
Am143C,3,2,Pachon x Surface F2,37236745,37236154,NA,NA,NA,NA,Protas_et_al.2007
Am143C,3,2,Pachon x Surface F2,37236745,37236154,NA,NA,NA,NA,Protas_et_al.2007
Am143C,3,2,Pachon x Surface F2,37236745,37236154,NA,NA,NA,NA,Protas_et_al.2007
Am143C,3,2,Pachon x Texas Surface F2 and F3,37236745,37236154,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
Am143C,3,2,Pachon x Texas Surface F2 and F3,37236745,37236154,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
Am143C,3,2,Pachon x Texas Surface F2 and F3,37236745,37236154,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2015
Am108C,3,2,Pachon x Surface F2,40093835,40093212,NA,NA,NA,NA,Protas_et_al.2008
Am108C,3,2,Pachon x Surface F2,40093835,40093212,NA,NA,NA,NA,Protas_et_al.2008
Am108C,3,2,Pachon x Surface F2,40093835,40093212,NA,NA,NA,NA,Protas_et_al.2007
Am108C,3,2,Pachon x Surface F2,40093835,40093212,NA,NA,NA,NA,Protas_et_al.2007
Am108C,3,2,Pachon x Surface F2,40093835,40093212,NA,NA,NA,NA,Protas_et_al.2007
Am108C,3,2,Pachon x Texas Surface F2 and F3,40093835,40093212,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
Am108C,3,2,Pachon x Texas Surface F2 and F3,40093835,40093212,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
Am108C,3,2,Pachon x Texas Surface F2 and F3,40093835,40093212,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2015
Am110B,3,2,Pachon x Texas Surface F2 and F3,55251042,55251563,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2015
Am110B,3,2,NA,55251042,55251563,NA,NA,NA,NA,Kowalko.et.al.2013.PNAS
RAD_42043,3,2,Pachon x Texas Surface F2 and F3,61870120,61870215,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2015
RAD_42043,3,2,NA,61870120,61870215,NA,NA,NA,NA,Kowalko.et.al.2013.PNAS
Am204C,3,2,Pachon x Surface F2,63556571,63557024,NA,NA,NA,NA,Protas_et_al.2008
Am204C,3,2,Pachon x Surface F2,63556571,63557024,NA,NA,NA,NA,Protas_et_al.2007
Am204C,3,2,Pachon x Surface F2,63556571,63557024,NA,NA,NA,NA,Protas_et_al.2007
Am204C,3,2,Pachon x Texas Surface F2 and F3,63556571,63557024,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
Am204C,3,2,Pachon x Texas Surface F2 and F3,63556571,63557024,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2015
RAD_55528,3,2,Pachon x Surface F2,63676473,63676532,NA,NA,NA,NA,Protas_et_al.2008
RAD_55528,3,2,Pachon x Surface F2,63676473,63676532,NA,NA,NA,NA,Protas_et_al.2007
RAD_55528,3,2,Pachon x Texas Surface F2 and F3,63676473,63676532,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
RAD_55528,3,2,Pachon x Texas Surface F2 and F3,63676473,63676532,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2015
RAD_68586,3,2,Pachon x Texas Surface F2 and F3,64503745,64503650,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
RAD_68586,3,2,Pachon x Texas Surface F2 and F3,64503745,64503650,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2015
RAD_13262,3,2,Pachon x Surface F2,65572924,65573016,NA,NA,NA,NA,Protas_et_al.2008
RAD_13262,3,2,Pachon x Surface F2,65572924,65573016,NA,NA,NA,NA,Protas_et_al.2007
RAD_13262,3,2,Pachon x Texas Surface F2 and F3,65572924,65573016,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
RAD_13262,3,2,Pachon x Texas Surface F2 and F3,65572924,65573016,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2015
RAD_69113,3,2,Pachon x Texas Surface F2 and F3,65954936,65955031,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
RAD_69113,3,2,Pachon x Texas Surface F2 and F3,65954936,65955031,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2015
Am203F,3,2,Pachon x Surface F2,69914691,69915264,NA,NA,NA,NA,Protas_et_al.2008
Am203F,3,2,Pachon x Surface F2,69914691,69915264,NA,NA,NA,NA,Protas_et_al.2007
Am203F,3,2,Pachon x Texas Surface F2 and F3,69914691,69915264,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
Am203F,3,2,Pachon x Texas Surface F2 and F3,69914691,69915264,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2015
RAD_92414,3,2,Pachon x Texas Surface F2 and F3,74094266,74094361,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
RAD_92414,3,2,Pachon x Texas Surface F2 and F3,74094266,74094361,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2015
RAD_60158,4,24,Pachon x Texas Surface F2,582471,582376,NA,NA,NA,NA,O.Quin.et.al.2012
RAD_95416,4,24,Pachon x Texas Surface F2,1649370,1649275,NA,NA,NA,NA,O.Quin.et.al.2012
RAD_57878,4,24,Pachon x Texas Surface F2,2169030,2168937,NA,NA,NA,NA,O.Quin.et.al.2012
NYU26,4,24,Pachon x Texas Surface F2,2270021,2269516,NA,NA,NA,NA,O.Quin.et.al.2012
RAD_62629,4,24,Pachon x Texas Surface F2,2649460,2649555,NA,NA,NA,NA,O.Quin.et.al.2012
RAD_37425,4,24,Pachon x Texas Surface F2,2896281,2896376,NA,NA,NA,NA,O.Quin.et.al.2012
RAD_73613,4,24,Pachon x Texas Surface F2,3376605,3376510,NA,NA,NA,NA,O.Quin.et.al.2012
Am228D,4,24,Pachon x Texas Surface F2,5513629,5513171,NA,NA,NA,NA,O.Quin.et.al.2012
RAD_97116,4,24,Pachon x Texas Surface F2,6000824,6000919,NA,NA,NA,NA,O.Quin.et.al.2012
RAD_94251,4,24,Pachon x Texas Surface F2,6000827,6000732,NA,NA,NA,NA,O.Quin.et.al.2012
RAD_55145,4,24,Pachon x Texas Surface F2,14512081,14512176,NA,NA,NA,NA,O.Quin.et.al.2012
RAD_41764,4,24,Pachon x Texas Surface F2,16975289,16975194,NA,NA,NA,NA,O.Quin.et.al.2012
NYU7,4,24,Pachon x Texas Surface F2,17296481,17295567,NA,NA,NA,NA,O.Quin.et.al.2012
RAD_38622,5,22,NA,3523844,3523749,NA,NA,NA,NA,Kowalko.et.al.2013.PNAS
RAD_46723,5,22,NA,28883405,28883310,NA,NA,NA,NA,Kowalko.et.al.2013.PNAS
Am230E,5,22,NA,29049585,29049999,NA,NA,NA,NA,Kowalko.et.al.2013.PNAS
RAD_49749,5,22,NA,29323445,29323350,NA,NA,NA,NA,Kowalko.et.al.2013.PNAS
Am5C,5,22,Pachon x Texas Surface F2 and F3,33575203,33574665,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2015
Am5C,5,22,NA,33575203,33574665,NA,NA,NA,NA,Kowalko.et.al.2013.PNAS
RAD_22130,5,22,Pachon x Texas Surface F2 and F3,34100425,34100520,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2015
RAD_22130,5,22,NA,34100425,34100520,NA,NA,NA,NA,Kowalko.et.al.2013.PNAS
Am237B,5,22,Pachon x Texas Surface F2 and F3,37571714,37571441,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2015
Am237B,5,22,NA,37571714,37571441,NA,NA,NA,NA,Kowalko.et.al.2013.PNAS
RAD_66607,5,22,Pachon x Texas Surface F2 and F3,37592069,37592164,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2015
RAD_66607,5,22,NA,37592069,37592164,NA,NA,NA,NA,Kowalko.et.al.2013.PNAS
Am220B,9,17,Pachon x Surface F2,1186051,1186174,NA,NA,NA,NA,Protas_et_al.2008
Am220B,9,17,Pachon x Surface F2,1186051,1186174,NA,NA,NA,NA,Protas_et_al.2007
Am220B,9,17,Pachon x Texas Surface F2 and F3,1186051,1186174,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
Am220B,9,17,Pachon x Texas Surface F2 and F3,1186051,1186174,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
Am220B,9,17,Pachon x Texas Surface F2 and F3,1186051,1186174,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
Am220B,9,17,Pachon x Texas Surface F2 and F3,1186051,1186174,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2015
Am220B,9,17,NA,1186051,1186174,NA,NA,NA,NA,Kowalko.et.al.2013.PNAS
Am219A,6,17,Pachon x Surface F2,1940368,1939874,NA,NA,NA,NA,Protas_et_al.2007
RAD_59676,6,17,Pachon x Surface F2,1951297,1951202,NA,NA,NA,NA,Protas_et_al.2007
Am207F,6,17,Pachon x Surface F2,2494897,2494594,NA,NA,NA,NA,Protas_et_al.2007
RAD_61584,6,17,Pachon x Surface F2,7554184,7554089,NA,NA,NA,NA,Protas_et_al.2007
RAD_61584,6,17,NA,7554184,7554089,NA,NA,NA,NA,Kowalko.et.al.2013.PNAS
RAD_15817,6,17,Pachon x Surface F2,10690978,10691071,NA,NA,NA,NA,Protas_et_al.2008
RAD_15817,6,17,Pachon x Surface F2,10690978,10691071,NA,NA,NA,NA,Protas_et_al.2007
RAD_15817,6,17,Pachon x Texas Surface F2 and F3,10690978,10691071,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
RAD_15817,6,17,Pachon x Texas Surface F2 and F3,10690978,10691071,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
RAD_15817,6,17,Pachon x Texas Surface F2 and F3,10690978,10691071,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
RAD_15817,6,17,Pachon x Texas Surface F2 and F3,10690978,10691071,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2015
RAD_15817,6,17,NA,10690978,10691071,NA,NA,NA,NA,Kowalko.et.al.2013.PNAS
RAD_70147,6,17,Pachon x Surface F2,11179807,11179902,NA,NA,NA,NA,Protas_et_al.2008
RAD_70147,6,17,Pachon x Surface F2,11179807,11179902,NA,NA,NA,NA,Protas_et_al.2007
RAD_70147,6,17,Pachon x Texas Surface F2 and F3,11179807,11179902,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
RAD_70147,6,17,Pachon x Texas Surface F2 and F3,11179807,11179902,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
RAD_70147,6,17,Pachon x Texas Surface F2 and F3,11179807,11179902,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
RAD_70147,6,17,Pachon x Texas Surface F2 and F3,11179807,11179902,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2015
RAD_70147,6,17,NA,11179807,11179902,NA,NA,NA,NA,Kowalko.et.al.2013.PNAS
RAD_85408,6,17,Pachon x Texas Surface F2 and F3,12588042,12588137,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
RAD_85408,6,17,NA,12588042,12588137,NA,NA,NA,NA,Kowalko.et.al.2013.PNAS
RAD_79171,6,24,Pachon x Texas Surface F2,17469269,17469364,NA,NA,NA,NA,O.Quin.et.al.2012
NYU12,6,24,Pachon x Surface F2,21059796,21060308,NA,NA,NA,NA,Protas_et_al.2008
NYU12,6,24,Pachon x Texas Surface F2,21059796,21060308,NA,NA,NA,NA,O.Quin.et.al.2012
Am220E,6,24,Pachon x Texas Surface F2,21078984,21079401,NA,NA,NA,NA,O.Quin.et.al.2012
RAD_85634,6,24,Pachon x Surface F2,21827964,21828059,NA,NA,NA,NA,Protas_et_al.2008
RAD_85634,6,24,Pachon x Texas Surface F2,21827964,21828059,NA,NA,NA,NA,O.Quin.et.al.2012
RAD_86461,6,17,Pachon x Surface F2,26507414,26507319,NA,NA,NA,NA,Protas_et_al.2007
RAD_86461,6,17,NA,26507414,26507319,NA,NA,NA,NA,Kowalko.et.al.2013.PNAS
RAD_11922,6,17,Pachon x Surface F2,26980485,26980390,NA,NA,NA,NA,Protas_et_al.2007
RAD_11922,6,17,NA,26980485,26980390,NA,NA,NA,NA,Kowalko.et.al.2013.PNAS
RAD_17072,6,17,Pachon x Surface F2,27920547,27920452,NA,NA,NA,NA,Protas_et_al.2007
RAD_17072,6,17,NA,27920547,27920452,NA,NA,NA,NA,Kowalko.et.al.2013.PNAS
RAD_65881,6,17,Pachon x Surface F2,29281451,29281356,NA,NA,NA,NA,Protas_et_al.2007
RAD_65881,6,17,NA,29281451,29281356,NA,NA,NA,NA,Kowalko.et.al.2013.PNAS
NYU6,6,17,Pachon x Surface F2,29357153,29357943,NA,NA,NA,NA,Protas_et_al.2008
NYU6,6,17,Pachon x Surface F2,29357153,29357943,NA,NA,NA,NA,Protas_et_al.2007
NYU6,6,17,Pachon x Texas Surface F2 and F3,29357153,29357943,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2015
NYU6,6,17,NA,29357153,29357943,NA,NA,NA,NA,Kowalko.et.al.2013.PNAS
RAD_35861,6,17,Pachon x Surface F2,31878553,31878458,NA,NA,NA,NA,Protas_et_al.2008
RAD_35861,6,17,Pachon x Surface F2,31878553,31878458,NA,NA,NA,NA,Protas_et_al.2007
RAD_35861,6,17,Pachon x Texas Surface F2 and F3,31878553,31878458,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
RAD_35861,6,17,Pachon x Texas Surface F2 and F3,31878553,31878458,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
RAD_35861,6,17,Pachon x Texas Surface F2 and F3,31878553,31878458,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
RAD_35861,6,17,Pachon x Texas Surface F2 and F3,31878553,31878458,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2015
RAD_35861,6,17,NA,31878553,31878458,NA,NA,NA,NA,Kowalko.et.al.2013.PNAS
RAD_54124,6,17,Pachon x Surface F2,32029411,32029316,NA,NA,NA,NA,Protas_et_al.2008
RAD_54124,6,17,Pachon x Surface F2,32029411,32029316,NA,NA,NA,NA,Protas_et_al.2007
RAD_54124,6,17,Pachon x Texas Surface F2 and F3,32029411,32029316,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
RAD_54124,6,17,Pachon x Texas Surface F2 and F3,32029411,32029316,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
RAD_54124,6,17,Pachon x Texas Surface F2 and F3,32029411,32029316,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
RAD_54124,6,17,Pachon x Texas Surface F2 and F3,32029411,32029316,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2015
RAD_54124,6,17,NA,32029411,32029316,NA,NA,NA,NA,Kowalko.et.al.2013.PNAS
RAD_59634,6,17,Pachon x Surface F2,38375880,38375975,NA,NA,NA,NA,Protas_et_al.2008
RAD_59634,6,17,Pachon x Surface F2,38375880,38375975,NA,NA,NA,NA,Protas_et_al.2007
RAD_59634,6,17,Pachon x Texas Surface F2 and F3,38375880,38375975,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
RAD_59634,6,17,Pachon x Texas Surface F2 and F3,38375880,38375975,NA,NA,NA,"In this study, quantitative traits were measured in both F2 and F3 fish",Yoshizawa.et.al.2012
