"Scaffold","Start_Locus","End_Locus","Gene_ID","Gene_Name"
"3",58499166,58500065,"ENSAMXG00000025960","stx11b.1"
"3",58507287,58508183,"ENSAMXG00000025959","stx11b.2"
"3",36610094,36623705,"ENSAMXG00000040444","yipf6"
"3",58581758,58593252,"ENSAMXG00000005939","thbs1b"
"3",36655498,36796337,"ENSAMXG00000011438","stard8"
"3",36823828,36946658,"ENSAMXG00000011465","rxfp2l"
"3",58779035,58779271,"ENSAMXG00000031863","ensembl"
"3",58803792,58823309,"ENSAMXG00000040206","si:dkeyp-72h1.1"
"3",58824345,58825349,"ENSAMXG00000042146","ensembl"
"3",58864833,58882420,"ENSAMXG00000019189","tnfaip2a"
"3",58899784,58908579,"ENSAMXG00000035514","tnfaip2a"
"3",58908119,58911248,"ENSAMXG00000032023","ensembl"
"3",36983320,37012333,"ENSAMXG00000043165","STEEP1"
"3",58926129,58935361,"ENSAMXG00000019210","eif5"
"3",58937456,58939682,"ENSAMXG00000019222","enpp5"
"3",37303370,37355591,"ENSAMXG00000041759","efnb1"
"3",58948105,58951005,"ENSAMXG00000037318","enpp5"
"3",58953912,58966193,"ENSAMXG00000035642","fam167ab"
"3",37437810,37488063,"ENSAMXG00000030910","eda"
"3",58979413,58996071,"ENSAMXG00000038558","ccm2"
"3",37496344,37504173,"ENSAMXG00000007607","wnt11f2"
"3",37511009,37519437,"ENSAMXG00000036086","igbp1"
"3",37541644,37567016,"ENSAMXG00000007593","taf1"
"3",59005037,59084573,"ENSAMXG00000019229","xkr6b"
"3",59092177,59112540,"ENSAMXG00000019237","mtmr9"
"3",59118918,59122662,"ENSAMXG00000019242","tdh"
"3",12791837,12809766,"ENSAMXG00000001865","arhgap35b"
"3",12813748,12814566,"ENSAMXG00000034606","si:ch211-139a5.9"
"3",12817706,12843883,"ENSAMXG00000043292","tmprss13b"
"3",59139340,59168656,"ENSAMXG00000019248","pinx1"
"3",59171887,59186082,"ENSAMXG00000030409","sox7"
"3",59215770,59220022,"ENSAMXG00000039929","ensembl"
"3",37574414,37575393,"ENSAMXG00000036821","rhogc"
"3",59225841,59230332,"ENSAMXG00000038473","ensembl"
"3",12843995,12852976,"ENSAMXG00000001840","ensembl"
"3",37592501,37598307,"ENSAMXG00000044101","ensembl"
"3",12861510,12873629,"ENSAMXG00000001828","scn4bb"
"3",59251629,59279210,"ENSAMXG00000030792","blk"
"3",37633903,37640810,"ENSAMXG00000032999","ensembl"
"3",12888402,12892039,"ENSAMXG00000040971","mpzl2b"
"3",12898543,12910268,"ENSAMXG00000030539","pafah1b2"
"3",12915422,12918491,"ENSAMXG00000001789","apoa1a"
"3",59297574,59354807,"ENSAMXG00000030122","fndc4a"
"3",59361970,59434415,"ENSAMXG00000019264","si:dkey-71h2.2"
"3",37650847,37667148,"ENSAMXG00000036804","plp1b"
"3",12934130,12942412,"ENSAMXG00000001769","si:ch211-139a5.1"
"3",59442339,59486934,"ENSAMXG00000019266","si:ch211-278j3.3"
"3",37675782,37692819,"ENSAMXG00000007571","nlgn3b"
"3",59487869,59503723,"ENSAMXG00000033985","znf513a"
"3",59508687,59553042,"ENSAMXG00000019269","snx17"
"3",37719612,37818706,"ENSAMXG00000030673","gria3a"
"3",12957600,12967834,"ENSAMXG00000030135","tagln2"
"3",59554234,59558952,"ENSAMXG00000019272","atraid"
"3",59562930,59571322,"ENSAMXG00000019282","eif2b4"
"3",37844824,37857198,"ENSAMXG00000007559","ensembl"
"3",37863440,37871275,"ENSAMXG00000041092","ensembl"
"3",37868399,37891253,"ENSAMXG00000007550","stag2a"
"3",12982911,12989876,"ENSAMXG00000033198","tppp2"
"3",59587080,59601920,"ENSAMXG00000030080","nme6"
"3",12998126,13002944,"ENSAMXG00000029859","ensembl"
"3",59600770,59609284,"ENSAMXG00000038833","baalcb"
"3",13006893,13010808,"ENSAMXG00000001701","ensembl"
"3",59635381,59642095,"ENSAMXG00000034034","ensembl"
"3",13010230,13023570,"ENSAMXG00000001671","ensembl"
"3",59700273,59704241,"ENSAMXG00000019294","ensembl"
"3",59753282,59786710,"ENSAMXG00000019297","chrna2b"
"3",37896266,37908397,"ENSAMXG00000007542","acsl4b"
"3",13024580,13037121,"ENSAMXG00000001646","nfkbib"
"3",13074091,13107514,"ENSAMXG00000037293","gjd1a"
"3",59793242,59822760,"ENSAMXG00000019303","ptk2bb"
"3",37928266,37934095,"ENSAMXG00000007538","cwc15"
"3",13125284,13128055,"ENSAMXG00000038983","h3f3c"
"3",13160896,13167893,"ENSAMXG00000001577","crx"
"3",37938040,37944381,"ENSAMXG00000038899","fam76b"
"3",13171494,13171925,"ENSAMXG00000044060","ensembl"
"3",13186617,13191922,"ENSAMXG00000001557","ensembl"
"3",37954399,37967461,"ENSAMXG00000004788","mtmr2"
"3",13201401,13210806,"ENSAMXG00000001548","kptn"
"3",37971347,37976258,"ENSAMXG00000033103","cx27.5"
"3",37986409,37987515,"ENSAMXG00000004785","cx39.9"
"3",37995796,38027129,"ENSAMXG00000004784","tbc1d8b"
"3",13214944,13229741,"ENSAMXG00000001542","hnrnpl"
"3",59884369,60059666,"ENSAMXG00000019312","kcnh5a"
"3",13233719,13236954,"ENSAMXG00000001532","srsf7a"
"3",60060888,60092753,"ENSAMXG00000043729","rhoj"
"3",38027413,38045665,"ENSAMXG00000004783","rnf128a"
"3",13242591,13268494,"ENSAMXG00000001525","slc8a2a"
"3",60095330,60123960,"ENSAMXG00000030264","ppp2r5ea"
"3",38054098,38074613,"ENSAMXG00000004781","arap1a"
"3",13295878,13304049,"ENSAMXG00000037998","nccrp1"
"3",60127942,60145920,"ENSAMXG00000032515","si:ch211-212g7.6"
"3",60149377,60153146,"ENSAMXG00000035283","ensembl"
"3",60162341,60177903,"ENSAMXG00000019342","hif1ab"
"3",13307246,13313695,"ENSAMXG00000001486","ensembl"
"3",38093604,38101397,"ENSAMXG00000004780","ercc6l"
"3",13396809,13419289,"ENSAMXG00000020477","ckma"
"3",38247245,38263526,"ENSAMXG00000031423","ufl1"
"3",60186870,60219829,"ENSAMXG00000019350","prkchb"
"3",13404367,13452999,"ENSAMXG00000001432","mark4a"
"3",60264067,60275526,"ENSAMXG00000019352","six4b"
"3",60280086,60281605,"ENSAMXG00000019354","six1b"
"3",13484809,13502806,"ENSAMXG00000043279","exoc3l2a"
"3",13515806,13530202,"ENSAMXG00000042781","ppp1r14aa"
"3",60305080,60310494,"ENSAMXG00000034914","six6b"
"3",38268380,38269522,"ENSAMXG00000025575","gpr63"
"3",13533249,13541734,"ENSAMXG00000006640","dlb"
"3",60351171,60365019,"ENSAMXG00000041890","ppm1ab"
"3",38273946,38277965,"ENSAMXG00000044045","ndufaf4"
"3",38279167,38290877,"ENSAMXG00000003932","dse"
"3",38309315,38355815,"ENSAMXG00000003910","nt5dc1"
"3",13558980,13569314,"ENSAMXG00000034870","zgc:153990"
"3",60395819,60463520,"ENSAMXG00000039324","rtn1b"
"3",13567956,13580574,"ENSAMXG00000006676","CAPNS1"
"3",13591394,13600778,"ENSAMXG00000033280","alkbh6"
"3",38344857,38349836,"ENSAMXG00000035187","col10a1b"
"3",60485846,60492679,"ENSAMXG00000020448","ensembl"
"3",13620278,13663968,"ENSAMXG00000006702","nova1"
"3",60522161,60523495,"ENSAMXG00000034131","ensembl"
"3",13670711,13696265,"ENSAMXG00000006705","micu2"
"3",60532553,60597868,"ENSAMXG00000020459","ppp1r13bb"
"3",38347997,38351123,"ENSAMXG00000032943","ensembl"
"3",38359672,38379270,"ENSAMXG00000034064","frk"
"3",13717386,13722633,"ENSAMXG00000038265","ensembl"
"3",13728296,13738576,"ENSAMXG00000033862","ensembl"
"3",38379303,38400927,"ENSAMXG00000041389","frk"
"3",13752103,13764272,"ENSAMXG00000036477","ensembl"
"3",60602622,60634663,"ENSAMXG00000001460","ckbb"
"3",38414891,38428522,"ENSAMXG00000014338","HS3ST5"
"3",13779283,13798343,"ENSAMXG00000031650","ensembl"
"3",38428532,38438119,"ENSAMXG00000014325","HDAC2"
"3",60602638,60607060,"ENSAMXG00000032659","ensembl"
"3",13845521,13856183,"ENSAMXG00000006767","ensembl"
"3",60696684,60702605,"ENSAMXG00000020479","xrcc3"
"3",13872784,13877168,"ENSAMXG00000031780","ensembl"
"3",60702766,60796163,"ENSAMXG00000020489","brf1b"
"3",38441505,38447816,"ENSAMXG00000032323","ensembl"
"3",13878974,13883881,"ENSAMXG00000040629","ensembl"
"3",38448073,38453896,"ENSAMXG00000034538","marcksa"
"3",38535994,38575406,"ENSAMXG00000014261","lama4"
"3",60727891,60733612,"ENSAMXG00000036054","btbd6b"
"3",13885860,13891406,"ENSAMXG00000006772","rpl36a"
"3",61009872,61010060,"ENSAMXG00000038470","ensembl"
"3",13901386,13933585,"ENSAMXG00000006780","glra4b"
"3",61145939,61162094,"ENSAMXG00000029675","ensembl"
"3",13918641,13921959,"ENSAMXG00000037559","ensembl"
"3",38577572,38579433,"ENSAMXG00000030992","ensembl"
"3",13952650,13982225,"ENSAMXG00000006808","aifm1"
"3",61168455,61192048,"ENSAMXG00000036234","esr2a"
"3",38579897,38606536,"ENSAMXG00000014226","tube1"
"3",61294730,61345304,"ENSAMXG00000020545","jag2b"
"3",13990173,13993423,"ENSAMXG00000038362","tnfsf10l4"
"3",13992742,14001703,"ENSAMXG00000033933","nono"
"3",14015378,14020426,"ENSAMXG00000006861","ensembl"
"3",38612230,38623255,"ENSAMXG00000042271","ccn6"
"3",38645543,38665126,"ENSAMXG00000033550","si:dkey-119m7.4"
"3",14023437,14031262,"ENSAMXG00000030085","ensembl"
"3",38696774,38713647,"ENSAMXG00000014156","fynb"
"3",61365721,61430419,"ENSAMXG00000029131","nudt14"
"3",38721561,38727791,"ENSAMXG00000042483","ensembl"
"3",61693968,61709018,"ENSAMXG00000032989","l3hypdh"
"3",38729222,38744908,"ENSAMXG00000014116","ensembl"
"3",61695504,61695619,"ENSAMXG00000042066","U5"
"3",38749173,38800918,"ENSAMXG00000014096","rev3l"
"3",61709039,61815732,"ENSAMXG00000001378","daam1b"
"3",14033536,14092136,"ENSAMXG00000042293","zgc:113208"
"3",14066085,14138198,"ENSAMXG00000034668","mtnr1c"
"3",14143559,14149824,"ENSAMXG00000006901","vma21"
"3",14232532,14258948,"ENSAMXG00000006915","npas2"
"3",61830277,61889843,"ENSAMXG00000001388","mark3b"
"3",14267105,14284648,"ENSAMXG00000006937","radx"
"3",38801633,38803611,"ENSAMXG00000041163","ensembl"
"3",61926300,61934987,"ENSAMXG00000035157","clic5b"
"3",38808619,38819944,"ENSAMXG00000014083","mfsd4b"
"3",14303577,14308798,"ENSAMXG00000006950","ensembl"
"3",61950304,61983814,"ENSAMXG00000035866","ensembl"
"3",38822237,38860906,"ENSAMXG00000014059","slc16a10"
"3",61983842,61994106,"ENSAMXG00000038711","psma8"
"3",14326003,14333676,"ENSAMXG00000034232","ensembl"
"3",14358429,14362320,"ENSAMXG00000039013","ensembl"
"3",14376261,14388396,"ENSAMXG00000029037","apool"
"3",38866407,38877799,"ENSAMXG00000035201","rpf2"
"3",61991436,61992431,"ENSAMXG00000030268","ensembl"
"3",61995690,62008577,"ENSAMXG00000019513","taf4b"
"3",38888719,38923059,"ENSAMXG00000040643","si:ch211-241j12.3"
"3",14388471,14438123,"ENSAMXG00000037259","si:ch211-26b3.4"
"3",62006965,62040018,"ENSAMXG00000032444","kctd1"
"3",62050255,62057908,"ENSAMXG00000019647","aqp4"
"3",14393018,14393403,"ENSAMXG00000031834","ensembl"
"3",38925337,38927510,"ENSAMXG00000014023","smim8"
"3",14443778,14449373,"ENSAMXG00000030848","si:dkey-237j10.2"
"3",14459639,14466062,"ENSAMXG00000007022","hmgn7"
"3",38928183,38935470,"ENSAMXG00000031166","cx28.8"
"3",62297985,62361889,"ENSAMXG00000040605","cdh2"
"3",38935532,38953403,"ENSAMXG00000013980","znf292b"
"3",14479997,14501848,"ENSAMXG00000007033","brwd3"
"3",38957545,38958657,"ENSAMXG00000032630","ensembl"
"3",62790974,62793396,"ENSAMXG00000032780","si:dkey-5n18.1"
"3",62799185,62817579,"ENSAMXG00000002361","dsc2l"
"3",39097595,39128182,"ENSAMXG00000013935","bub1"
"3",62838218,62852217,"ENSAMXG00000039417","ensembl"
"3",39130109,39144867,"ENSAMXG00000034257","syncrip"
"3",62869006,62888739,"ENSAMXG00000030767","ensembl"
"3",39146901,39153491,"ENSAMXG00000013904","akirin2"
"3",62893266,62903987,"ENSAMXG00000002407","si:ch73-74h11.1"
"3",39155400,39175539,"ENSAMXG00000013899","rars2"
"3",39170781,39186440,"ENSAMXG00000042536","slc35a1"
"3",14507420,14514720,"ENSAMXG00000007042","chmp1b"
"3",14527279,14533728,"ENSAMXG00000007050","cnga2b"
"3",62911221,62927405,"ENSAMXG00000002421","si:ch73-74h11.1"
"3",39197870,39203393,"ENSAMXG00000013882","ensembl"
"3",39217777,39221673,"ENSAMXG00000013874","si:ch211-57i17.5"
"3",39230268,39246756,"ENSAMXG00000013866","si:ch211-57i17.1"
"3",14543951,14584506,"ENSAMXG00000007066","atrxl"
"3",62932632,62938471,"ENSAMXG00000002423","ttr"
"3",39247746,39272868,"ENSAMXG00000037265","wdr26b"
"3",39272564,39305066,"ENSAMXG00000032892","adcy3b"
"3",62944497,62962468,"ENSAMXG00000002432","b4galt6"
"3",62978088,63008081,"ENSAMXG00000040803","opn7a"
"3",39308683,39325165,"ENSAMXG00000013814","batf"
"3",39340908,39342734,"ENSAMXG00000033854","jdp2b"
"3",63011080,63065496,"ENSAMXG00000002438","trappc8"
"3",14595653,14608139,"ENSAMXG00000035547","zdhhc15a"
"3",39358129,39360861,"ENSAMXG00000040940","si:ch211-153j24.3"
"3",39365503,39370224,"ENSAMXG00000013765","fosab"
"3",14617492,14627790,"ENSAMXG00000037352","uprt"
"3",39379866,39387444,"ENSAMXG00000034580","tmed10"
"3",14646915,14650965,"ENSAMXG00000007091","nexmifa"
"3",14671567,14672574,"ENSAMXG00000038905","ensembl"
"3",39389123,39397838,"ENSAMXG00000013730","eif2b2"
"3",39399231,39408990,"ENSAMXG00000013714","zc3h14"
"3",14681284,14693511,"ENSAMXG00000032486","prps1a"
"3",39413112,39430653,"ENSAMXG00000041312","rmdn3"
"3",14702695,14713758,"ENSAMXG00000038165","tbx5b"
"3",63066512,63086816,"ENSAMXG00000002444","anapc4"
"3",39431492,39439251,"ENSAMXG00000013672","rad51"
"3",14725711,14734346,"ENSAMXG00000043844","cfap73"
"3",39439536,39447363,"ENSAMXG00000034193","ensembl"
"3",39514298,39519653,"ENSAMXG00000037123","ensembl"
"3",14728966,14738117,"ENSAMXG00000036602","iqcd"
"3",39530129,39558290,"ENSAMXG00000013587","FLVCR2"
"3",14739457,14759868,"ENSAMXG00000007110","tpcn1"
"3",63088233,63109677,"ENSAMXG00000002454","slain2"
"3",39563797,39564777,"ENSAMXG00000042356","ensembl"
"3",39574369,39575342,"ENSAMXG00000039972","ensembl"
"3",39577120,39581778,"ENSAMXG00000032712","ensembl"
"3",39586483,39587466,"ENSAMXG00000032946","ensembl"
"3",39592557,39593543,"ENSAMXG00000031876","ensembl"
"3",39595191,39596177,"ENSAMXG00000041616","ensembl"
"3",39600407,39601375,"ENSAMXG00000033882","ensembl"
"3",63114369,63119800,"ENSAMXG00000002464","ensembl"
"3",39609610,39610596,"ENSAMXG00000043442","ensembl"
"3",14760579,14769844,"ENSAMXG00000032649","ensembl"
"3",63123281,63123706,"ENSAMXG00000002468","ensembl"
"3",39616403,39617389,"ENSAMXG00000033046","ensembl"
"3",63125513,63131808,"ENSAMXG00000030076","slc10a4"
"3",63132011,63134529,"ENSAMXG00000030044","zar1"
"3",39619348,39620328,"ENSAMXG00000039236","ensembl"
"3",14768612,14774888,"ENSAMXG00000007123","ensembl"
"3",39623766,39624746,"ENSAMXG00000032228","ensembl"
"3",39629228,39630220,"ENSAMXG00000030302","ensembl"
"3",14782272,14784610,"ENSAMXG00000041818","ensembl"
"3",39634186,39635177,"ENSAMXG00000030956","ensembl"
"3",39637419,39638423,"ENSAMXG00000026317","ensembl"
"3",39642038,39650019,"ENSAMXG00000031601","stx7l"
"3",14788810,14791113,"ENSAMXG00000037300","ensembl"
"3",39655936,39657524,"ENSAMXG00000026316","taar13a"
"3",14793786,14798126,"ENSAMXG00000041165","ensembl"
"3",39661121,39662152,"ENSAMXG00000026315","ensembl"
"3",14801004,14805791,"ENSAMXG00000007118","ensembl"
"3",39665971,39667005,"ENSAMXG00000037169","ensembl"
"3",63138876,63216239,"ENSAMXG00000002511","fryl"
"3",14809507,14814984,"ENSAMXG00000007116","ensembl"
"3",39668686,39669660,"ENSAMXG00000030127","ensembl"
"3",14839020,14840111,"ENSAMXG00000025756","agtr2"
"3",39692133,39705840,"ENSAMXG00000026314","taar1b"
"3",14847390,14861035,"ENSAMXG00000007125","sh2d1aa"
"3",39695732,39696712,"ENSAMXG00000026313","taar11"
"3",39698761,39701301,"ENSAMXG00000026312","taar10b"
"3",39709079,39710415,"ENSAMXG00000034805","ensembl"
"3",14865330,15084062,"ENSAMXG00000007150","tenm1"
"3",39724713,39728615,"ENSAMXG00000031788","ensembl"
"3",39733080,39739408,"ENSAMXG00000040167","ensembl"
"3",39741044,39743792,"ENSAMXG00000032900","ensembl"
"3",39746042,39748681,"ENSAMXG00000033404","ensembl"
"3",39750699,39751736,"ENSAMXG00000026311","ensembl"
"3",39755638,39757619,"ENSAMXG00000037807","taar10"
"3",39765568,39767245,"ENSAMXG00000042619","taar10"
"3",39773570,39776805,"ENSAMXG00000034736","taar10"
"3",39782392,39795035,"ENSAMXG00000039351","taar10"
"3",39797725,39799424,"ENSAMXG00000026308","taar10"
"3",39804498,39808834,"ENSAMXG00000034233","taar10"
"3",39813419,39816739,"ENSAMXG00000033805","taar10"
"3",39820623,39826543,"ENSAMXG00000031305","ensembl"
"3",15212873,15231459,"ENSAMXG00000033766","prkag2a"
"3",39826279,39829168,"ENSAMXG00000029541","ensembl"
"3",39831548,39836375,"ENSAMXG00000041174","ensembl"
"3",15251255,15275199,"ENSAMXG00000029077","cox4i1l"
"3",39851466,39855744,"ENSAMXG00000029502","ensembl"
"3",15274715,15328945,"ENSAMXG00000030527","bcl2a"
"3",39863128,39864162,"ENSAMXG00000042672","ensembl"
"3",39878342,39879490,"ENSAMXG00000036533","ensembl"
"3",39885106,39887439,"ENSAMXG00000041816","ensembl"
"3",39895163,39902859,"ENSAMXG00000033336","ensembl"
"3",63289774,63299193,"ENSAMXG00000035482","ociad1"
"3",63303549,63303664,"ENSAMXG00000035629","U5"
"3",39903124,39908041,"ENSAMXG00000033059","ensembl"
"3",39916543,39929245,"ENSAMXG00000032174","ensembl"
"3",63307531,63318244,"ENSAMXG00000040066","ociad2"
"3",63319285,63330083,"ENSAMXG00000002575","dcun1d4"
"3",39922824,39928121,"ENSAMXG00000043441","ensembl"
"3",15687447,15812170,"ENSAMXG00000025152","hs6st1b"
"3",39940597,39943187,"ENSAMXG00000035380","ensembl"
"3",39950735,39951844,"ENSAMXG00000035988","ensembl"
"3",63340773,63354975,"ENSAMXG00000038151","ensembl"
"3",39954751,39956935,"ENSAMXG00000038539","ensembl"
"3",63357801,63366764,"ENSAMXG00000002583","sgcb"
"3",39960311,39961478,"ENSAMXG00000041985","ensembl"
"3",39965907,39969495,"ENSAMXG00000032372","ensembl"
"3",15969033,16093319,"ENSAMXG00000005139","ensembl"
"3",39973636,39977153,"ENSAMXG00000040951","ensembl"
"3",63366745,63380909,"ENSAMXG00000040413","spata18"
"3",39985056,39992158,"ENSAMXG00000008504","C6orf58"
"3",39994906,40017549,"ENSAMXG00000008574","themis"
"3",16023585,16031681,"ENSAMXG00000038393","ensembl"
"3",16134121,16188480,"ENSAMXG00000036667","ensembl"
"3",16211297,16215948,"ENSAMXG00000034228","ensembl"
"3",63439936,63466002,"ENSAMXG00000002600","usp46"
"3",40021803,40177639,"ENSAMXG00000008775","ptprk"
"3",63467549,63467680,"ENSAMXG00000027142","ensembl"
"3",16245555,16246889,"ENSAMXG00000034487","ensembl"
"3",63467560,63467680,"ENSAMXG00000026609","ensembl"
"3",63467864,63467984,"ENSAMXG00000026562","ensembl"
"3",16252769,16254031,"ENSAMXG00000041711","ensembl"
"3",16268726,16272425,"ENSAMXG00000042149","ccl34b.4"
"3",16301596,16302821,"ENSAMXG00000034731","ensembl"
"3",40321216,40366684,"ENSAMXG00000001208","arfgef1"
"3",16343725,16374154,"ENSAMXG00000005208","vipr2"
"3",63521785,63525692,"ENSAMXG00000042814","rasl11b"
"3",16421442,16433525,"ENSAMXG00000005242","zmynd11"
"3",63529210,63763500,"ENSAMXG00000002603","scfd2"
"3",40425536,40482902,"ENSAMXG00000042988","cpa6"
"3",40506468,40725246,"ENSAMXG00000001708","prex2"
"3",16439070,16638033,"ENSAMXG00000005269","dip2ca"
"3",63671888,63677069,"ENSAMXG00000033362","ensembl"
"3",63764172,63780359,"ENSAMXG00000031045","fip1l1a"
"3",63825294,63955116,"ENSAMXG00000002610","lnx1"
"3",16747309,16759646,"ENSAMXG00000003335","larp4b"
"3",40731305,40903633,"ENSAMXG00000002055","C8orf34"
"3",40947102,41116708,"ENSAMXG00000002082","sulf1"
"3",64095458,64097779,"ENSAMXG00000041308","gsx2"
"3",64102275,64104514,"ENSAMXG00000036677","ensembl"
"3",16785284,16799957,"ENSAMXG00000003373","stag1b"
"3",64120911,64141191,"ENSAMXG00000002629","pdgfra"
"3",64231187,64268716,"ENSAMXG00000002687","kita"
"3",64332346,64370316,"ENSAMXG00000043598","kdr"
"3",16809369,16813001,"ENSAMXG00000042396","msl2b"
"3",16816980,16824483,"ENSAMXG00000042620","tnfsf10"
"3",64394050,64399988,"ENSAMXG00000031728","srd5a3"
"3",64399848,64412036,"ENSAMXG00000002811","tmem165"
"3",16858760,16869425,"ENSAMXG00000040435","nceh1b.1"
"3",16892666,16966437,"ENSAMXG00000003573","fndc3bb"
"3",64412159,64420769,"ENSAMXG00000034679","ensembl"
"3",64430234,64454663,"ENSAMXG00000005565","clocka"
"3",16973158,16977500,"ENSAMXG00000003721","ghsrb"
"3",41122331,41214870,"ENSAMXG00000002099","slco5a1a"
"3",41235859,41243457,"ENSAMXG00000005804","katnbl1"
"3",16988921,17062244,"ENSAMXG00000003737","pld1b"
"3",41243958,41251437,"ENSAMXG00000035385","emc7"
"3",41251908,41255860,"ENSAMXG00000026492","chrm5b"
"3",41254478,41282012,"ENSAMXG00000004863","aven"
"3",64506864,64526902,"ENSAMXG00000031528","nmu"
"3",17101997,17179236,"ENSAMXG00000003837","TNIK"
"3",41281129,41372129,"ENSAMXG00000004818","ryr3"
"3",17188307,17193747,"ENSAMXG00000039778","eif5a"
"3",17193739,17196485,"ENSAMXG00000004066","rpl22l1"
"3",17217684,17228092,"ENSAMXG00000004078","slc7a14b"
"3",64574267,64590013,"ENSAMXG00000005542","exoc1"
"3",17228113,17237007,"ENSAMXG00000029411","cldn11b"
"3",17236782,17252472,"ENSAMXG00000004100","si:dkeyp-26a9.2"
"3",17255091,17271192,"ENSAMXG00000004117","si:ch211-230g15.5"
"3",17281654,17286860,"ENSAMXG00000004186","zgc:194621"
"3",64592630,64604587,"ENSAMXG00000038910","chst14"
"3",41415597,41426226,"ENSAMXG00000004809","ensembl"
"3",64605812,64624973,"ENSAMXG00000005502","cep135"
"3",41429053,41429568,"ENSAMXG00000041784","grem1a"
"3",41432180,41436050,"ENSAMXG00000004801","scg5"
"3",41436093,41442542,"ENSAMXG00000036014","ensembl"
"3",17297046,17305154,"ENSAMXG00000004207","skilb"
"3",64665150,64672002,"ENSAMXG00000005490","CRACD"
"3",41443890,41451519,"ENSAMXG00000004797","ensembl"
"3",64672636,64694508,"ENSAMXG00000035822","aasdh"
"3",17307742,17320748,"ENSAMXG00000004256","lrrc31"
"3",64694680,64701838,"ENSAMXG00000029857","si:dkeyp-117h8.4"
