"","Namespace","GO_ID","GO_Term"
"165","Biological Process","GO:0000200","obsolete inactivation of MAPK activity involved in cell wall organization or biogenesis"
"166","Biological Process","GO:0000201","obsolete MAPK import into nucleus involved in cell wall organization or biogenesis"
"167","Biological Process","GO:0000202","obsolete MAPKKK cascade during sporulation (sensu Saccharomyces)"
"168","Biological Process","GO:0000203","obsolete activation of MAPKKK during sporulation (sensu Saccharomyces)"
"169","Biological Process","GO:0000204","obsolete activation of MAPKK during sporulation (sensu Saccharomyces)"
"170","Biological Process","GO:0000205","obsolete activation of MAPK during sporulation (sensu Saccharomyces)"
"171","Biological Process","GO:0000206","obsolete inactivation of MAPK during sporulation (sensu Saccharomyces)"
"172","Biological Process","GO:0000207","obsolete nuclear translocation of MAPK during sporulation (sensu Saccharomyces)"
"173","Biological Process","GO:0000208","obsolete MAPK import into nucleus involved in osmosensory signaling pathway"
"174","Biological Process","GO:0000209","protein polyubiquitination"
"175","Molecular Function","GO:0000210","NAD+ diphosphatase activity"
"176","Molecular Function","GO:0000211","obsolete protein degradation tagging activity"
"177","Biological Process","GO:0000212","meiotic spindle organization"
"178","Molecular Function","GO:0000213","tRNA-intron endonuclease activity"
"179","Cellular Component","GO:0000214","tRNA-intron endonuclease complex"
"180","Molecular Function","GO:0000215","tRNA 2-phosphotransferase activity"
"181","Biological Process","GO:0000216","obsolete M/G1 transition of mitotic cell cycle"
"182","Molecular Function","GO:0000217","DNA secondary structure binding"
"183","Cellular Component","GO:0000219","obsolete vacuolar hydrogen-transporting ATPase"
"184","Cellular Component","GO:0000220","vacuolar proton-transporting V-type ATPase, V0 domain"
"185","Cellular Component","GO:0000221","vacuolar proton-transporting V-type ATPase, V1 domain"
"186","Cellular Component","GO:0000222","plasma membrane proton-transporting V-type ATPase, V0 domain"
"187","Cellular Component","GO:0000223","plasma membrane proton-transporting V-type ATPase, V1 domain"
"188","Molecular Function","GO:0000224","peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity"
"189","Molecular Function","GO:0000225","N-acetylglucosaminylphosphatidylinositol deacetylase activity"
"190","Biological Process","GO:0000226","microtubule cytoskeleton organization"
"191","Molecular Function","GO:0000227","oxaloacetate secondary active transmembrane transporter activity"
"192","Cellular Component","GO:0000228","nuclear chromosome"
"193","Cellular Component","GO:0000229","cytoplasmic chromosome"
"194","Cellular Component","GO:0000230","obsolete nuclear mitotic chromosome"
"195","Cellular Component","GO:0000231","obsolete cytoplasmic mitotic chromosome"
"196","Cellular Component","GO:0000232","obsolete nuclear interphase chromosome"
"197","Cellular Component","GO:0000233","obsolete cytoplasmic interphase chromosome"
"198","Molecular Function","GO:0000234","phosphoethanolamine N-methyltransferase activity"
"199","Cellular Component","GO:0000235","astral microtubule"
"200","Biological Process","GO:0000236","mitotic prometaphase"
"201","Biological Process","GO:0000237","leptotene"
"202","Biological Process","GO:0000238","zygotene"
"203","Biological Process","GO:0000239","pachytene"
"204","Biological Process","GO:0000240","diplotene"
"205","Biological Process","GO:0000241","diakinesis"
"206","Cellular Component","GO:0000242","pericentriolar material"
"207","Cellular Component","GO:0000243","commitment complex"
"208","Biological Process","GO:0000244","spliceosomal tri-snRNP complex assembly"
"209","Biological Process","GO:0000245","spliceosomal complex assembly"
"210","Molecular Function","GO:0000246","delta24(24-1) sterol reductase activity"
"211","Molecular Function","GO:0000247","C-8 sterol isomerase activity"
"212","Molecular Function","GO:0000248","C-5 sterol desaturase activity"
"213","Molecular Function","GO:0000249","C-22 sterol desaturase activity"
"214","Molecular Function","GO:0000250","lanosterol synthase activity"
"215","Molecular Function","GO:0000252","C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity"
"216","Molecular Function","GO:0000253","3-keto sterol reductase activity"
"217","Molecular Function","GO:0000254","C-4 methylsterol oxidase activity"
"218","Biological Process","GO:0000255","allantoin metabolic process"
"219","Biological Process","GO:0000256","allantoin catabolic process"
"220","Molecular Function","GO:0000257","nitrilase activity"
"221","Molecular Function","GO:0000258","obsolete isoleucine/valine:sodium symporter activity"
"222","Molecular Function","GO:0000259","obsolete intracellular nucleoside transmembrane transporter activity"
"223","Molecular Function","GO:0000260","obsolete hydrogen-translocating V-type ATPase activity"
"224","Molecular Function","GO:0000261","obsolete sodium-translocating V-type ATPase activity"
"225","Cellular Component","GO:0000262","mitochondrial chromosome"
"226","Molecular Function","GO:0000263","obsolete heterotrimeric G-protein GTPase, alpha-subunit"
"227","Molecular Function","GO:0000264","obsolete heterotrimeric G-protein GTPase, beta-subunit"
"228","Molecular Function","GO:0000265","obsolete heterotrimeric G-protein GTPase, gamma-subunit"
"229","Biological Process","GO:0000266","mitochondrial fission"
"230","Cellular Component","GO:0000267","obsolete cell fraction"
"231","Molecular Function","GO:0000268","peroxisome targeting sequence binding"
"232","Molecular Function","GO:0000269","toxin export channel activity"
"233","Biological Process","GO:0000270","peptidoglycan metabolic process"
"234","Biological Process","GO:0000271","polysaccharide biosynthetic process"
"235","Biological Process","GO:0000272","polysaccharide catabolic process"
"236","Cellular Component","GO:0000274","mitochondrial proton-transporting ATP synthase, stator stalk"
"237","Cellular Component","GO:0000275","mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)"
"238","Cellular Component","GO:0000276","mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)"
"239","Molecular Function","GO:0000277","[cytochrome c]-lysine N-methyltransferase activity"
"240","Biological Process","GO:0000278","mitotic cell cycle"
"241","Biological Process","GO:0000279","M phase"
"242","Biological Process","GO:0000280","nuclear division"
"243","Biological Process","GO:0000281","mitotic cytokinesis"
"244","Biological Process","GO:0000282","cellular bud site selection"
"245","Biological Process","GO:0000284","obsolete shmoo orientation"
"246","Molecular Function","GO:0000285","1-phosphatidylinositol-3-phosphate 5-kinase activity"
"247","Molecular Function","GO:0000286","alanine dehydrogenase activity"
"248","Molecular Function","GO:0000287","magnesium ion binding"
"249","Biological Process","GO:0000288","nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay"
"250","Biological Process","GO:0000289","nuclear-transcribed mRNA poly(A) tail shortening"
"251","Biological Process","GO:0000290","deadenylation-dependent decapping of nuclear-transcribed mRNA"
"252","Biological Process","GO:0000291","nuclear-transcribed mRNA catabolic process, exonucleolytic"
"253","Biological Process","GO:0000292","RNA fragment catabolic process"
"254","Molecular Function","GO:0000293","ferric-chelate reductase activity"
"255","Biological Process","GO:0000294","nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay"
"256","Molecular Function","GO:0000295","adenine nucleotide transmembrane transporter activity"
"257","Biological Process","GO:0000296","spermine transport"
"258","Molecular Function","GO:0000297","spermine transmembrane transporter activity"
"259","Molecular Function","GO:0000298","endopolyphosphatase activity"
"260","Cellular Component","GO:0000299","obsolete integral to membrane of membrane fraction"
"261","Cellular Component","GO:0000300","obsolete peripheral to membrane of membrane fraction"
"262","Biological Process","GO:0000301","retrograde transport, vesicle recycling within Golgi"
"263","Biological Process","GO:0000302","response to reactive oxygen species"
"264","Biological Process","GO:0000303","response to superoxide"
"265","Biological Process","GO:0000304","response to singlet oxygen"
"266","Biological Process","GO:0000305","response to oxygen radical"
"267","Cellular Component","GO:0000306","extrinsic component of vacuolar membrane"
"268","Cellular Component","GO:0000307","cyclin-dependent protein kinase holoenzyme complex"
"269","Cellular Component","GO:0000308","cytoplasmic cyclin-dependent protein kinase holoenzyme complex"
"270","Molecular Function","GO:0000309","nicotinamide-nucleotide adenylyltransferase activity"
"271","Molecular Function","GO:0000310","xanthine phosphoribosyltransferase activity"
"272","Cellular Component","GO:0000311","plastid large ribosomal subunit"
"273","Cellular Component","GO:0000312","plastid small ribosomal subunit"
"274","Cellular Component","GO:0000313","organellar ribosome"
"275","Cellular Component","GO:0000314","organellar small ribosomal subunit"
"276","Cellular Component","GO:0000315","organellar large ribosomal subunit"
"277","Biological Process","GO:0000316","sulfite transport"
"278","Molecular Function","GO:0000319","sulfite transmembrane transporter activity"
"279","Biological Process","GO:0000320","re-entry into mitotic cell cycle"
"280","Biological Process","GO:0000321","re-entry into mitotic cell cycle after pheromone arrest"
"281","Cellular Component","GO:0000322","storage vacuole"
"282","Cellular Component","GO:0000323","lytic vacuole"
"283","Cellular Component","GO:0000324","fungal-type vacuole"
"284","Cellular Component","GO:0000325","plant-type vacuole"
"285","Cellular Component","GO:0000326","protein storage vacuole"
"286","Cellular Component","GO:0000327","lytic vacuole within protein storage vacuole"
"287","Cellular Component","GO:0000328","fungal-type vacuole lumen"
"288","Cellular Component","GO:0000329","fungal-type vacuole membrane"
"289","Cellular Component","GO:0000330","plant-type vacuole lumen"
"290","Cellular Component","GO:0000331","contractile vacuole"
"291","Molecular Function","GO:0000332","template for synthesis of G-rich strand of telomere DNA activity"
"292","Cellular Component","GO:0000333","telomerase catalytic core complex"
"293","Molecular Function","GO:0000334","3-hydroxyanthranilate 3,4-dioxygenase activity"
"294","Biological Process","GO:0000335","negative regulation of transposition, DNA-mediated"
"295","Biological Process","GO:0000336","positive regulation of transposition, DNA-mediated"
"296","Biological Process","GO:0000337","regulation of transposition, DNA-mediated"
"297","Biological Process","GO:0000338","protein deneddylation"
"298","Molecular Function","GO:0000339","RNA cap binding"
"299","Molecular Function","GO:0000340","RNA 7-methylguanosine cap binding"
"300","Molecular Function","GO:0000341","RNA trimethylguanosine cap binding"
"301","Molecular Function","GO:0000342","RNA cap 4 binding"
"302","Cellular Component","GO:0000343","plastid-encoded plastid RNA polymerase complex A"
"303","Cellular Component","GO:0000344","plastid-encoded plastid RNA polymerase complex B"
"304","Cellular Component","GO:0000345","cytosolic DNA-directed RNA polymerase complex"
"305","Cellular Component","GO:0000346","transcription export complex"
"306","Cellular Component","GO:0000347","THO complex"
"307","Biological Process","GO:0000348","mRNA branch site recognition"
"308","Biological Process","GO:0000349","generation of catalytic spliceosome for first transesterification step"
"309","Biological Process","GO:0000350","generation of catalytic spliceosome for second transesterification step"
"310","Biological Process","GO:0000352","trans assembly of SL-containing precatalytic spliceosome"
"311","Biological Process","GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP"
"312","Biological Process","GO:0000354","cis assembly of pre-catalytic spliceosome"
"313","Molecular Function","GO:0000362","obsolete first U2-type spliceosomal transesterification activity"
"314","Molecular Function","GO:0000363","obsolete first U12-type spliceosomal transesterification activity"
"315","Molecular Function","GO:0000364","obsolete second U2-type spliceosomal transesterification activity"
"316","Biological Process","GO:0000365","mRNA trans splicing, via spliceosome"
"317","Biological Process","GO:0000366","intergenic mRNA trans splicing"
"318","Molecular Function","GO:0000367","obsolete second U12-type spliceosomal transesterification activity"
"319","Biological Process","GO:0000372","Group I intron splicing"
"320","Biological Process","GO:0000373","Group II intron splicing"
"321","Biological Process","GO:0000374","Group III intron splicing"
"322","Biological Process","GO:0000375","RNA splicing, via transesterification reactions"
"323","Biological Process","GO:0000376","RNA splicing, via transesterification reactions with guanosine as nucleophile"
"324","Biological Process","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"
"325","Biological Process","GO:0000378","RNA exon ligation"
"326","Biological Process","GO:0000379","tRNA-type intron splice site recognition and cleavage"
"327","Biological Process","GO:0000380","alternative mRNA splicing, via spliceosome"
"328","Biological Process","GO:0000381","regulation of alternative mRNA splicing, via spliceosome"
"329","Molecular Function","GO:0000384","first spliceosomal transesterification activity"
"330","Molecular Function","GO:0000386","second spliceosomal transesterification activity"
"331","Biological Process","GO:0000387","spliceosomal snRNP assembly"
"332","Biological Process","GO:0000388","spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)"
"333","Biological Process","GO:0000389","mRNA 3-splice site recognition"
"334","Biological Process","GO:0000390","spliceosomal complex disassembly"
"335","Biological Process","GO:0000393","spliceosomal conformational changes to generate catalytic conformation"
"336","Biological Process","GO:0000394","RNA splicing, via endonucleolytic cleavage and ligation"
"337","Biological Process","GO:0000395","mRNA 5-splice site recognition"
"338","Biological Process","GO:0000398","mRNA splicing, via spliceosome"
"339","Cellular Component","GO:0000399","cellular bud neck septin structure"
"340","Molecular Function","GO:0000400","four-way junction DNA binding"
"341","Molecular Function","GO:0000401","open form four-way junction DNA binding"
"342","Molecular Function","GO:0000402","crossed form four-way junction DNA binding"
"343","Molecular Function","GO:0000403","Y-form DNA binding"
"344","Molecular Function","GO:0000404","heteroduplex DNA loop binding"
"345","Molecular Function","GO:0000405","bubble DNA binding"
"346","Molecular Function","GO:0000406","double-strand/single-strand DNA junction binding"
"347","Cellular Component","GO:0000407","phagophore assembly site"
"348","Cellular Component","GO:0000408","EKC/KEOPS complex"
"349","Biological Process","GO:0000409","regulation of transcription by galactose"
"350","Biological Process","GO:0000410","carbon catabolite repression of transcription by galactose"
"351","Biological Process","GO:0000411","positive regulation of transcription by galactose"
"352","Biological Process","GO:0000412","histone peptidyl-prolyl isomerization"
"353","Biological Process","GO:0000413","protein peptidyl-prolyl isomerization"
"354","Biological Process","GO:0000414","regulation of histone H3-K36 methylation"
"355","Biological Process","GO:0000415","negative regulation of histone H3-K36 methylation"
"356","Biological Process","GO:0000416","positive regulation of histone H3-K36 methylation"
"357","Cellular Component","GO:0000417","HIR complex"
"358","Cellular Component","GO:0000418","RNA polymerase IV complex"
"359","Cellular Component","GO:0000419","RNA polymerase V complex"
"360","Cellular Component","GO:0000421","autophagosome membrane"
"361","Biological Process","GO:0000422","autophagy of mitochondrion"
"362","Biological Process","GO:0000423","mitophagy"
"363","Biological Process","GO:0000424","micromitophagy"
"364","Biological Process","GO:0000425","pexophagy"
"365","Biological Process","GO:0000426","micropexophagy"
"366","Cellular Component","GO:0000427","plastid-encoded plastid RNA polymerase complex"
"367","Cellular Component","GO:0000428","DNA-directed RNA polymerase complex"
"368","Biological Process","GO:0000429","carbon catabolite regulation of transcription from RNA polymerase II promoter"
"369","Biological Process","GO:0000430","regulation of transcription from RNA polymerase II promoter by glucose"
"370","Biological Process","GO:0000431","regulation of transcription from RNA polymerase II promoter by galactose"
"371","Biological Process","GO:0000432","positive regulation of transcription from RNA polymerase II promoter by glucose"
"372","Biological Process","GO:0000433","carbon catabolite repression of transcription from RNA polymerase II promoter by glucose"
"373","Biological Process","GO:0000434","carbon catabolite repression of transcription from RNA polymerase II promoter by galactose"
"374","Biological Process","GO:0000435","positive regulation of transcription from RNA polymerase II promoter by galactose"
"375","Biological Process","GO:0000436","carbon catabolite activation of transcription from RNA polymerase II promoter"
"376","Biological Process","GO:0000437","carbon catabolite repression of transcription from RNA polymerase II promoter"
"377","Cellular Component","GO:0000438","core TFIIH complex portion of holo TFIIH complex"
"378","Cellular Component","GO:0000439","transcription factor TFIIH core complex"
"379","Cellular Component","GO:0000440","core TFIIH complex portion of NEF3 complex"
"380","Cellular Component","GO:0000444","MIS12/MIND type complex"
"381","Cellular Component","GO:0000445","THO complex part of transcription export complex"
"382","Cellular Component","GO:0000446","nucleoplasmic THO complex"
"383","Biological Process","GO:0000447","endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"384","Biological Process","GO:0000448","cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"385","Biological Process","GO:0000449","endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 5S)"
"386","Biological Process","GO:0000450","cleavage of bicistronic rRNA transcript (SSU-rRNA, LSU-rRNA)"
"387","Biological Process","GO:0000451","rRNA 2-O-methylation"
"388","Biological Process","GO:0000452","snoRNA guided rRNA 2-O-methylation"
"389","Biological Process","GO:0000453","enzyme-directed rRNA 2-O-methylation"
"390","Biological Process","GO:0000454","snoRNA guided rRNA pseudouridine synthesis"
"391","Biological Process","GO:0000455","enzyme-directed rRNA pseudouridine synthesis"
"392","Biological Process","GO:0000456","obsolete dimethylation involved in SSU-rRNA maturation"
"393","Biological Process","GO:0000457","endonucleolytic cleavage between SSU-rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 5S)"
"394","Biological Process","GO:0000458","endonucleolytic cleavage between LSU-rRNA and 5S rRNA of tricistronic rRNA transcript (SSU-rRNA, LSU-rRNA, 5S)"
"395","Biological Process","GO:0000459","exonucleolytic trimming involved in rRNA processing"
"396","Biological Process","GO:0000460","maturation of 5.8S rRNA"
"397","Biological Process","GO:0000461","endonucleolytic cleavage to generate mature 3-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"398","Biological Process","GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"399","Biological Process","GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"400","Biological Process","GO:0000464","endonucleolytic cleavage in ITS1 upstream of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
"401","Biological Process","GO:0000465","exonucleolytic trimming to generate mature 5-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
